repo,developer,commit,addition,deletion,days_since_last_commit,days_first_to_last_commit,author
ipython/ipython,Benjamin Ragan-Kelley,5.369313471286156,4.964618101942609,4.964618101942609,-0.9719257661136443,1.3370021601232869,0
ipython/ipython,Thomas Kluyver,2.407307466957786,1.4952933267827229,1.4952933267827229,-0.9749385361620118,1.1013876484078577,0
ipython/ipython,Jonathan Frederic,1.490735636134707,1.6778651023260205,1.6778651023260205,-0.9598746859201744,0.02762359762139859,0
ipython/ipython,Fernando Perez,1.4243319689181064,1.1956174325828655,1.1956174325828655,-0.7113211569298593,3.245234273235223,0
ipython/ipython,Matthias Bussonnier,1.405215761689085,0.9111558530116164,0.9111558530116164,-0.9794576912345629,0.687835093990673,0
ipython/ipython,Brian E. Granger,1.3740261604206816,3.320089002541238,3.320089002541238,-0.6751679163494498,2.175151699194317,0
ipython/ipython,Ville M. Vainio,0.39205677855095034,0.36067428735834006,0.36067428735834006,2.4776959392670936,0.41540581481970845,0
ipython/ipython,Paul Ivanov,0.24516381773847007,0.03333600292464976,0.03333600292464976,-0.4431846226251556,0.7737362180535897,0
ipython/ipython,Evan Patterson,-0.12609304897252466,-0.14139809538572856,-0.14139809538572856,0.6188168194243729,-0.08650218149076222,0
ipython/ipython,Bradley M. Froehle,-0.2005456455487133,-0.25758013436782706,-0.25758013436782706,0.12472253149210999,-0.31475373971508386,0
ipython/ipython,Jessica B. Hamrick,-0.2025578778886103,-0.2612684530656715,-0.2612684530656715,-0.7700701728730247,-0.2840747668354707,0
ipython/ipython,Jason Grout,-0.21563738809794072,-0.25158661648382996,-0.25158661648382996,-0.9312533704606837,0.8044151909332028,0
ipython/ipython,DamiÃ¡n Avila,-0.2216740851176317,-0.18750207910878353,-0.18750207910878353,-0.6616104511317963,-0.11595399545519082,0
ipython/ipython,Gael Varoquaux,-0.23374747915701363,-0.24697621811152443,-0.24697621811152443,2.358691522356579,-0.20062796060292304,0
ipython/ipython,Sylvain Corlay,-0.27801659063474743,-0.2649567717635159,-0.2649567717635159,-0.8709979694933345,-0.44237826689427445,0
ipython/ipython,Takafumi Arakaki,-0.27902270680469593,-0.31982051239395126,-0.31982051239395126,0.2557780285960944,-0.5749114297342032,0
ipython/ipython,Walter Doerwald,-0.30015114637361434,-0.3124438749982625,-0.3124438749982625,0.8914725088016278,1.5713895129235311,0
ipython/ipython,JÃ¶rgen Stenarson,-0.3031694948834598,-0.3230477912545651,-0.3230477912545651,0.16991408221762186,2.2831416837305554,0
ipython/ipython,Kyle Kelley,-0.3202734697725842,-0.3599309782330091,-0.3599309782330091,-0.8875682047593555,-0.07300343342373246,0
ipython/ipython,Scott Sanderson,-0.3393896770016056,-0.3424114644182482,-0.3424114644182482,-0.7580190926795549,-0.8277061662622153,0
ipython/ipython,Laurent DufrÃ©chou,-0.3403957931715541,-0.3465608229533232,-0.3465608229533232,2.559040730573015,-0.5380966622786674,0
ipython/ipython,Zachary Sailer,-0.35347530338088456,-0.29077500264842665,-0.29077500264842665,0.038858585113637475,-1.0056442089639714,0
ipython/ipython,Robert Kern,-0.360518116570524,-0.3603920180702397,-0.3603920180702397,0.3160334295634435,1.3296392066321796,0
ipython/ipython,Barry Wark,-0.362530348910421,-0.34840498230224537,-0.34840498230224537,2.8753815856515983,-0.990918301981757,0
ipython/ipython,Julian Taylor,-0.362530348910421,-0.3525543408373203,-0.3525543408373203,-0.1509459279335123,0.08530006663507125,0
ipython/ipython,Stefan van der Walt,-0.3655486974202665,-0.3424114644182482,-0.3424114644182482,0.7800000170120318,0.7172869079551015,0
ipython/ipython,David P. Sanders,-0.3756098591197515,-0.37514529286161724,-0.37514529286161724,0.02228834984761646,-0.9528763756110368,0
ipython/ipython,Jonathan Taylor,-0.3756098591197515,-0.37237905383823394,-0.37237905383823394,0.784519172084583,-1.0670021547231976,0
ipython/ipython,Gordon Ball,-0.3796343237995454,-0.37330113351269506,-0.37330113351269506,-0.48686978832648375,-0.9577850112717748,0
ipython/ipython,Greg Caporaso,-0.3796343237995454,-0.3765284123733089,-0.3765284123733089,0.43654423149814175,-0.8866097941910724,0
ipython/ipython,chebeei,-0.3796343237995454,-0.3765284123733089,-0.3765284123733089,-0.8634660443724158,0.6608375978566134,0
ipython/ipython,David Warde-Farley,-0.38265267230939093,-0.359008898558548,-0.359008898558548,0.5269273329491655,0.08407290771988674,0
ipython/ipython,Thomas Spura,-0.38265267230939093,-0.3368789863714816,-0.3368789863714816,-0.38744837673035765,0.7172869079551015,0
ipython/ipython,Doug Blank,-0.38365878847933943,-0.3742232131871561,-0.3742232131871561,-0.646546600889959,-0.6374965344086139,0
ipython/ipython,Pablo de Oliveira,-0.3866771369891849,-0.3742232131871561,-0.3742232131871561,0.019275579799249005,-1.0265059105221084,0
ipython/ipython,Nicholas Bollweg,-0.3896954854990304,-0.3654634562797757,-0.3654634562797757,-0.7384360873651664,-0.9160616081555011,0
ipython/ipython,Mathieu,-0.3907016016689789,-0.3783725717222311,-0.3783725717222311,-0.7263850071716965,-1.0056442089639714,0
ipython/ipython,Daniel B. Vasquez,-0.3927138340088759,-0.38344400993176714,-0.38344400993176714,-0.24434179943290346,-0.9700566004236202,0
ipython/ipython,Jan Schulz,-0.3927138340088759,-0.3852881692806893,-0.3852881692806893,-0.729397777220064,0.06198404724656528,0
ipython/ipython,Julia Evans,-0.3927138340088759,-0.37053489448931176,-0.37053489448931176,-0.3407504409806621,-0.990918301981757,0
ipython/ipython,Jens Hedegaard Nielsen,-0.3937199501788244,-0.3848271294434588,-0.3848271294434588,0.16539492714507067,-0.07668491016928602,0
ipython/ipython,Erik Tollerud,-0.3947260663487729,-0.3802167310711533,-0.3802167310711533,-0.2609120346989245,0.5025340977978097,0
ipython/ipython,Jakob Gager,-0.3947260663487729,-0.3820608904200755,-0.3820608904200755,-0.7143339269782267,-0.0607318442718872,0
ipython/ipython,Manuel Riel,-0.3947260663487729,-0.38621024895515044,-0.38621024895515044,-0.49741448349576983,-1.0743651082143046,0
ipython/ipython,Nicolas Rougier,-0.3947260663487729,-0.3848271294434588,-0.3848271294434588,1.1852175885174547,-0.812980259280001,0
ipython/ipython,Satrajit Ghosh,-0.39573218251872133,-0.38344400993176714,-0.38344400993176714,1.2138389039769457,-0.7638939026726199,0
ipython/ipython,Aaron Meurer,-0.39673829868866983,-0.38436608960622826,-0.38436608960622826,-0.9674066110410932,0.49517114430670256,0
