7266	14532
2860	5720
8887	17774
11317	22634
6875	13750
3505	7010
2484	4968
2004	4008
1537	3074
1108	2216
3127	6254
4203	8406
4096	8192
2085	4170
1349	2698
671	1342
881	1762
633	1266
1813	3626
832	1664
420	840
1434	2868
781	1562
263	526
484	968
818	1636
650	1300
1049	2098
882	1764
25	50
2127	4254
503	1006
842	1684
1101	2202
642	1284
177	354
404	808
1595	3190
376	752
421	842
538	1076
2029	4058
283	566
393	786
1704	3408
1125	2250
232	464
282	564
384	768
321	642
492	984
234	468
205	410
456	912
725	1450
279	558
140	280
552	1104
111	222
327	654
126	252
2	4
160	320
125	250
288	576
178	356
187	374
330	660
121	242
846	1692
187	374
210	420
286	572
235	470
250	500
294	588
119	238
219	438
86	172
191	382
202	404
130	260
6	12
121	242
489	978
103	206
132	264
126	252
85	170
99	198
134	268
135	270
258	516
69	138
120	240
99	198
83	166
68	136
211	422
2	4
79	158
554	1108
81	162
80	160
116	232
268	536
97	194
63	126
131	262
44	88
95	190
127	254
112	224
1227	2454
94	188
58	116
	
65	130
44	88
50	100
26	52
107	214
907	1814
46	92
72	144
49	98
65	130
31	62
120	240
1	2
78	156
81	162
52	104
92	184
61	122
68	136
67	134
70	140
21	42
49	98
69	138
83	166
74	148
35	70
49	98
67	134
133	266
81	162
37	74
52	104
64	128
182	364
57	114
60	120
72	144
19	38
45	90
347	694
53	106
25	50
57	114
45	90
	
29	58
38	76
69	138
33	66
25	50
47	94
95	190
65	130
2	4
54	108
45	90
41	82
25	50
30	60
60	120
129	258
46	92
28	56
107	214
39	78
30	60
53	106
41	82
105	210
23	46
31	62
43	86
42	84
24	48
37	74
65	130
28	56
24	48
32	64
14	28
38	76
30	60
25	50
21	42
25	50
24	48
31	62
38	76
121	242
29	58
28	56
28	56
33	66
20	40
29	58
31	62
101	202
38	76
23	46
8	16
30	60
39	78
27	54
34	68
19	38
20	40
52	104
30	60
21	42
24	48
34	68
35	70
56	112
46	92
17	34
43	86
22	44
33	66
26	52
20	40
28	56
24	48
31	62
25	50
97	194
21	42
20	40
34	68
24	48
33	66
36	72
29	58
18	36
13	26
11	22
29	58
28	56
26	52
21	42
16	32
19	38
48	96
34	68
23	46
22	44
17	34
20	40
81	162
51	102
35	70
22	44
62	124
51	102
38	76
15	30
35	70
14	28
14	28
8	16
50	100
23	46
20	40
10	20
30	60
29	58
37	74
24	48
71	142
50	100
21	42
14	28
41	82
36	72
16	32
33	66
23	46
15	30
17	34
39	78
14	28
13	26
11	22
14	28
18	36
41	82
24	48
16	32
13	26
15	30
32	64
13	26
18	36
11	22
114	228
5	10
16	32
12	24
12	24
15	30
18	36
14	28
20	40
41	82
28	56
82	164
57	114
27	54
46	92
667	1334
21	42
12	24
15	30
30	60
20	40
20	40
36	72
22	44
44	88
14	28
16	32
15	30
12	24
9	18
36	72
23	46
14	28
10	20
10	20
182	364
10	20
12	24
14	28
16	32
11	22
7	14
12	24
10	20
10	20
30	60
11	22
11	22
51	102
64	128
10	20
17	34
9	18
19	38
32	64
13	26
5	10
12	24
12	24
1925	3850
11	22
16	32
30	60
11	22
34	68
7	14
20	40
10	20
74	148
7	14
14	28
