,dev,commit,pull_open,pull_merged
225,vbaranovskiy-plesk,0,0,0
226,wturrell,1,0,0
227,mrkaluzny,0,0,0
228,yahilmadakiya,0,0,0
229,amq,0,0,0
230,builtbylane,1,0,0
231,chetansatasiya,0,0,0
232,daithi-coombes,1,0,0
233,dilipbheda,0,0,0
234,dlh01,1,0,0
235,dwightjack,1,0,0
236,eliorivero,1,0,0
237,ericmann,1,0,0
238,freezy-sk,0,0,0
239,ramondelafuente,1,0,0
240,glebis,1,0,0
241,hinaloe,0,0,0
242,inderpreet99,0,0,0
243,jghazally,1,0,0
244,jonathanbardo,1,0,0
245,joshlevinson,1,0,0
246,joshstoik1,1,0,0
247,lackingpenguin,1,0,0
248,lichtscheu,0,0,0
249,marcoceppi,1,0,0
250,metodiew,0,0,0
251,gradyetc,1,0,0
252,here,1,0,0
253,mn7zDev,0,0,0
254,mwithheld,1,0,0
255,nacin,1,0,0
256,navitronic,1,0,0
257,oknoway,1,0,0
258,ryotsun,0,0,0
259,sagarnasit,0,0,0
260,sboisvert,1,0,0
261,sibprogrammer,1,0,0
262,smhmic,1,0,0
263,ssnepenthe,0,0,0
264,stianlik,1,0,0
265,taupecat,1,0,0
266,thisislawatts,1,0,0
267,twisty,1,0,0
268,veganista,0,0,0
269,willmot,1,0,0
